scent_id,series,status,sort_order,name_zh,name_en,name_ko,top_zh,top_en,top_ko,heart_zh,heart_en,heart_ko,base_zh,base_en,base_ko,supplier_zh,supplier_en,supplier_ko,fragrance_ratio,updated_at
MPS001,masterpiece,active,10,作梦,DREAM LAND,,玫瑰、老鹳草,"Rose, Geranium",,玫瑰草,Palmarosa,,广藿香、橡木苔、蜂蜜,"Patchouli, Oakmoss, Honey",,美国 CandleScience 进口香薰精油,CandleScience Imported Fragrance Oil,,10%,2026-07-20
MPS002,masterpiece,active,20,白色口袋,WHITE POCKET,,红醋栗、柠檬皮、清新空气,"Red Currant, Lemon Peel, Fresh Air",,天竺葵、杜松,"Geranium, Juniper",,黑醋栗、薄荷,"Black Currant, Mint",,美国 CandleScience 进口香薰精油,CandleScience Imported Fragrance Oil,,10%,2026-07-20
MPS003,masterpiece,active,30,无为,NOTHING,,佛手柑、柑橘,"Bergamot, Citrus",,百里香、茉莉、姜,"Thyme, Jasmine, Ginger",,绿茶、菊花,"Green Tea, Chrysanthemum",,美国 CandleScience 进口香薰精油,CandleScience Imported Fragrance Oil,,10%,2026-07-20
MPS004,masterpiece,active,40,志留纪,SILURIAN PERIOD,,柠檬草、雪水,"Lemongrass, Snow Water",,青草、绿叶,"Fresh Grass, Green Leaves",,鼠尾草、苔藓,"Sage, Moss",,美国 CandleScience 进口香薰精油,CandleScience Imported Fragrance Oil,,10%,2026-07-20
MPS005,masterpiece,active,50,银河骑士,GALAXYKNIGHT,,海洋、凤梨,"Ocean, Pineapple",,薰衣草、青竹,"Lavender, Bamboo",,黑麝香、琥珀、雪松,"Black Musk, Amber, Cedarwood",,美国 CandleScience 进口香薰精油,CandleScience Imported Fragrance Oil,,10%,2026-07-20
MPS006,masterpiece,active,60,查令十字街,CHARING CROSS STREET,,柚木,Teakwood,,雪松、皮革、杏仁,"Cedarwood, Leather, Almond",,檀香、黑麝香,"Sandalwood, Black Musk",,美国 CandleScience 进口香薰精油,CandleScience Imported Fragrance Oil,,10%,2026-07-20
MPS007,masterpiece,active,70,渴,THIRSTY,,柑橘,Citrus,,雪松、茉莉,"Cedarwood, Jasmine",,檀香、琥珀、黑麝香,"Sandalwood, Amber, Black Musk",,美国 CandleScience 进口香薰精油,CandleScience Imported Fragrance Oil,,10%,2026-07-20
MPS008,masterpiece,active,80,床笫之间,BETWEEN THE BEDS,,藏红花、苹果,"Saffron, Apple",,黑醋栗、黑莓、香草,"Black Currant, Blackberry, Vanilla",,广藿香,Patchouli,,美国 CandleScience 进口香薰精油,CandleScience Imported Fragrance Oil,,10%,2026-07-20
MPS009,masterpiece,active,90,暗夜阳光,DARKLIGHT,,清新空气、柑橘,"Fresh Air, Citrus",,海盐、茉莉,"Sea Salt, Jasmine",,紫罗兰、雪松,"Violet, Cedarwood",,美国 CandleScience 进口香薰精油,CandleScience Imported Fragrance Oil,,10%,2026-07-20
MPS010,masterpiece,active,100,爱上陌生人,LOVING STRANGERS,,柑橘,Citrus,,黑樱桃、黑莓、李子,"Black Cherry, Blackberry, Plum",,小苍兰、香草,"Freesia, Vanilla",,美国 CandleScience 进口香薰精油,CandleScience Imported Fragrance Oil,,10%,2026-07-20
ADS001,advanced,active,10,东方花香调,Oriental Floral,,柑橘、香柠檬、橙花油,"Citrus, Bergamot, Neroli",,蜜橘、芳香,"Mandarin, Aromatic Notes",,咖啡、琥珀木、雪松,"Coffee, Amberwood, Cedarwood",,法国 Robertet Group 进口香薰香精,Robertet Group Imported Fragrance,,8%,2026-07-20
ADS002,advanced,active,20,水生麝香调,Aquatic Musk,,气泡柑橘、加利福尼亚甜橙、卡拉布里亚香柠檬、青绿调,"Sparkling Citrus, California Sweet Orange, Calabrian Bergamot, Green Notes",,花香、海洋、水生,"Floral Notes, Marine Notes, Aquatic Notes",,维吉尼亚雪松、木香、麝香,"Virginia Cedarwood, Woody Notes, Musk",,法国 Robertet Group 进口香薰香精,Robertet Group Imported Fragrance,,8%,2026-07-20
ADS003,advanced,active,30,辛辣木质调,Spicy Woody,,橙子、葡萄柚,"Orange, Grapefruit",,胡椒、天竺葵属、火石,"Pepper, Geranium, Flint",,香根草、雪松、广藿香、安息,"Vetiver, Cedarwood, Patchouli, Benzoin",,法国 Robertet Group 进口香薰香精,Robertet Group Imported Fragrance,,8%,2026-07-20
CLS001,classic,active,10,西西里杏仁,Sicilian Almond,,杏仁、八角、香柠檬、橙子,"Almond, Star Anise, Bergamot, Orange",,茉莉、桃子、依兰,"Jasmine, Peach, Ylang-Ylang",,香草、雪松、麝香、妥鲁香脂,"Vanilla, Cedarwood, Musk, Tolu Balsam",,上海依克塞汀香薰香精,Shanghai Excitin Fragrance,,5%,2026-07-20
CLS002,classic,active,20,乌木与佛手柑,Oud & Bergamot,,雪松、香柠檬,"Cedarwood, Bergamot",,柠檬、橙子,"Lemon, Orange",,佛手柑、沉香（乌木）,"Bergamot, Oud",,上海依克塞汀香薰香精,Shanghai Excitin Fragrance,,5%,2026-07-20
CLS003,classic,active,30,威斯汀白茶,Westin White Tea,,柠檬、清香、茶,"Lemon, Fresh Notes, Tea",,白茶,White Tea,,麝香,Musk,,上海依克塞汀香薰香精,Shanghai Excitin Fragrance,,5%,2026-07-20
